web-scraper-order,web-scraper-start-url,review,bubble_rating
1668957315-1,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Booked two connecting rooms. Spacious room and comfortable beds.

Hotel grounds was pretty and well kept. There was also an in house lizard!

Breakfast was okay, good spread and variety.

Pool was a hit with kids with the splash area and slides.

There’s also ping pong tables and space for petangue at the hotel grounds.

Walkable to the night market and many food outlets nearby the hotel.

This hotel is far from Georgetown but great for a relaxing holiday.",ui_bubble_rating bubble_40
1668957315-2,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Great hotel for family.
Kids enjoyed the pool facilities and Adventure Zone.
Resort are well kept and clean including the beach area.
Restaurants offered wide varieties of local and international cuisines.
Staff are friendly and helpful all the times.",ui_bubble_rating bubble_50
1668957315-3,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Excellent hospitality provided from Ms Michelle Onn Front Desk Manager. She been helpful and fulfilled for all requested.
Great swimming pools with good maintenence. Water was clean on everyday basic. No forget kid Adventures Zone highly recommended.",ui_bubble_rating bubble_50
1668957315-4,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"I've stayed in this resort many times over the years and the last time I stayed here prior to this was in 2009 and 2010 right after this resort underwent a major refurbishment (then I've not visited Batu Ferringhi for many years). I've had very good experience in previous years but this stay has been very disappointing.

The hotel check-in was very slow (I think it took over an hour) and the lobby was very crowded. The restaurant and swimming pool were also crowded all the time which made this trip not relaxing at all.

The rooms were not maintained to Shangri-La standards. Toiletries were inconsistent between rooms and there were obvious signs of wear and tear everywhere (photos attached). The glass shelves beside the basin were broken and not replaced. Moulds and watermark in the shower area. Broken lights in the room were also not replaced.

Of course, there is also the issue of the beach being eroded which is also affecting the adjacent Rasa Sayang Resort as well.

Overall this is a very disappointing stay and definitely not meeting the standards expected for Shangri-La. I hope there is a plan for major refurbishment soon, otherwise it's sad to see how the hotel has gone downhill and will affect the Shangri-La brand too if left as such.",ui_bubble_rating bubble_30
1668957315-5,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"I have just ended my 20th stay (total 159 nights) at this hotel which became my place to spend a holiday in Penang. To say that this visit was a great disappointment is mild.
So much of what has happened here in due to Covid, and I fully understand that it takes time to recover.
However to my judgement changes made have been mainly cost cutting, and as a regular guest this is off putting. So many things that made the hotel popular have been taken away, and this has lower the standard and value of the property;
The hotel has closed the special check in  area (Cool Lounge) for Club Members, closed the ever popular Lobby Lounge bar, cut back on the free shuttle bus daily service from 4 coaches per day to one 4 seat van per day.
My room 334 was up to standard, however the shower was filthy and I asked to be cleaned (poorly done), and the balcony verandah was not cleaned of bird dropping from the day I checked in until departure (it was just swept, not cleaned.
The only bright spot for me was that some of the regular staff are still there to serve.
All in all a very sub standard hotel that I rate is now done to a basic 3 star property, and I feel that it is highly unlikely to suit those who have been frequent guests over the years.",ui_bubble_rating bubble_20
1668957315-6,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"This was my 8th time to the golden sands I was so excited to go back. Unfortunately when we arrived at the reception to be checked in I never received a warm welcome it was more of a oh no another guest sort of thing. 
The hotel grounds are still lovely the gardens do a fantastic job. The pool area is so clean and tidy the pool staff are wonderful especially that the gentleman life guard he was fabulous at making sure people weren't diving ect .
Breakfast was lovely during the week but unfortunately it gets very very busy at the weekends as they provide cheap room rates so it gets rammed . The breakfast is really lovely everything for everyone. The breakfast staff were lovely and very efficient.
The rooms are clean and beds are made daily with bottled water left for drinking.
Unfortunately they have a terrible problem with crows they poop everywhere, they steal food from tables and balconies they are a real problem. No one wants to sunbathe with birds pooping on you I suggest you hire a couple of hawkes to tackle them.
Overall it was lovely to go back but unfortunately it has lost its friendliness.",ui_bubble_rating bubble_40
1668957315-7,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Been here for 3D2N on Executive Seaview King  Room for 2A1C. Our room comes with a balcony and a shower not bath tub. Our room also equipped with an extra bed.Room is clean. There are bottles of water provided.

Checking in and out is easy through their App.  We had complimentary breakfast and 50% charge on child above 7 years old.

Foods are great especially the pizza at Sigi Bar. Must try. The buffet dinner however, we felt there could be improvement on taste. Maybe the chef is on salt diet.

Swimmings pools and beach are nice. Just the rainy seasons not permit us to enjoy much. There are sea activities provided (pay on site).

Thanks to the Manager, Michelle for assisting our stay from A to Z. Her hospitality is on top notch. My son is so happy to get the Shangri-la plush toys.

Suggestions: To provide umbrella in each room ( we have to walk in rain!).To give complimentary cheese pizza to kids will be great as buffet spread is limited for kids.

Thanks. We will return.",ui_bubble_rating bubble_50
1668957315-8,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Room - Superb! Our room is Superior Family Combo which they have a very cute decoration for kids. Room smell so good & clean👍

Amenities - Small theme park at the pool & indoor playground complete us so much🥰 We enjoyed the beach as well. My kids can spend their time playing with the sands

Service - All staff entertained us very well. Special thanks to the Front Desk Manager, Michelle Oon who keep assisting us before arrival, during the stay and even after☺️

There is only one thing to highlight, hope the hotel management can check the buggy bell frequently. There’s a few times that we wait for the buggy but the staff said the bell is broken 😓

Overall, this hotel is perfect and definitely I will come back again and recommend this hotel to others",ui_bubble_rating bubble_40
1668957315-9,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Thank you Shangri-La for providing us with a great stay and a perfect trip experience, we all had a great time!

Thanks to the manager Michelle Oon for allowing us to check in early and check out late, and gave us a lot of soft dolls, as well as a surprise birthday cake, all of which are wonderful!",ui_bubble_rating bubble_50
1668957315-10,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"As a family with 2 young kids, this place gives us an excellent, fun, and memorable experience. We stayed in the Superior Family Combo room, the kids room is based on tree house themed, which my kids liked very much, they got to enjoy their own time in their magical tree house space. There is also kids pool, splash zones, water slides, and Kids Club that our kids experienced and loved. Shangri-la Golden Sands is really the perfect stay place for travel group with kids.

Staffs are very friendly and helpful, we were greeted by the Manager prior to our arrival, and our stay is personalized to our needs. Breakfast offers quite a wide range and varieties of food and family friendly.

Beach is normal, the tide can be too strong for kids, and certain areas can be quite deep, parent supervision is recommended.",ui_bubble_rating bubble_50
